NoFrame;Spacing;Start;End
-9;0.80;-7.20;-6.40
-8;0.80;-6.40;-5.60
-7;0.80;-5.60;-4.80
-6;0.80;-4.80;-4.00
-5;0.80;-4.00;-3.20
-4;0.80;-3.20;-2.40
-3;0.80;-2.40;-1.60
-2;0.80;-1.60;-0.80
-1;0.80;-0.80;0.00
0;0.80;0.00;0.80
1;0.80;0.80;1.60
2;0.80;1.60;2.40
3;0.80;2.40;3.20
4;0.80;3.20;4.00
5;0.80;4.00;4.80
6;0.80;4.80;5.60
7;0.80;5.60;6.40
8;0.80;6.40;7.20
9;0.80;7.20;8.00
10;0.80;8.00;8.80
11;3.05;8.80;11.85
12;3.05;11.85;14.90
13;3.25;14.90;18.15
14;3.25;18.15;21.40
15;1.85;21.40;23.25
16;3.05;23.25;26.30
17;3.05;26.30;29.35
18;3.25;29.35;32.60
19;3.25;32.60;35.85
20;1.85;35.85;37.70
21;3.05;37.70;40.75
22;3.05;40.75;43.80
23;3.25;43.80;47.05
24;3.25;47.05;50.30
25;1.85;50.30;52.15
26;3.05;52.15;55.20
27;3.05;55.20;58.25
28;3.25;58.25;61.50
29;3.25;61.50;64.75
30;0.80;64.75;65.55
31;0.80;65.55;66.35
32;0.80;66.35;67.15
33;0.80;67.15;67.95
34;0.80;67.95;68.75
35;0.80;68.75;69.55
36;0.80;69.55;70.35
37;0.80;70.35;71.15
38;0.80;71.15;71.95
39;0.80;71.95;72.75
40;0.80;72.75;73.55
41;0.80;73.55;74.35
42;0.80;74.35;75.15
43;0.80;75.15;75.95
44;0.80;75.95;76.75
45;0.80;76.75;77.55
46;0.80;77.55;78.35
47;0.80;78.35;79.15
48;0.80;79.15;79.95
49;0.80;79.95;80.75
50;0.80;80.75;81.55
51;0.80;81.55;82.35
52;0.80;82.35;83.15
53;0.80;83.15;83.95
54;0.80;83.95;84.75
55;0.80;84.75;85.55
56;0.80;85.55;86.35
57;0.80;86.35;87.15
58;0.80;87.15;87.95
59;0.80;87.95;88.75
60;1.85;88.75;90.60
61;3.05;90.60;93.65
62;3.05;93.65;96.70
63;3.25;96.70;99.95
64;3.25;99.95;103.20
65;1.85;103.20;105.05
66;3.05;105.05;108.10
67;3.05;108.10;111.15
68;3.25;111.15;114.40
69;3.25;114.40;117.65
70;1.85;117.65;119.50
71;3.05;119.50;122.55
72;3.05;122.55;125.60
73;3.25;125.60;128.85
74;3.25;128.85;132.10
75;1.85;132.10;133.95
76;3.05;133.95;137.00
77;3.05;137.00;140.05
78;3.25;140.05;143.30
79;3.25;143.30;146.55
80;1.85;146.55;148.40
81;3.05;148.40;151.45
82;3.05;151.45;154.50
83;3.25;154.50;157.75
84;3.25;157.75;161.00
85;1.85;161.00;162.85
86;3.05;162.85;165.90
87;3.05;165.90;168.95
88;3.25;168.95;172.20
89;3.25;172.20;175.45
90;1.85;175.45;177.30
91;3.25;177.30;180.55
92;3.25;180.55;183.80
93;3.05;183.80;186.85
94;3.05;186.85;189.90
95;1.85;189.90;191.75
96;3.25;191.75;195.00
97;3.25;195.00;198.25
98;3.05;198.25;201.30
99;3.05;201.30;204.35
100;1.85;204.35;206.20
101;3.25;206.20;209.45
102;3.25;209.45;212.70
103;3.05;212.70;215.75
104;3.05;215.75;218.80
105;0.80;218.80;219.60
106;0.80;219.60;220.40
107;0.80;220.40;221.20
108;0.80;221.20;222.00
109;0.80;222.00;222.80
110;0.80;222.80;223.60
111;0.80;223.60;224.40
112;0.80;224.40;225.20
113;0.80;225.20;226.00
114;0.80;226.00;226.80
115;0.80;226.80;227.60
116;0.80;227.60;228.40
117;0.80;228.40;229.20
118;0.80;229.20;230.00
119;0.80;230.00;230.80
120;0.80;230.80;231.60
121;1.85;231.60;233.45
122;3.25;233.45;236.70
123;3.25;236.70;239.95
124;3.05;239.95;243.00
125;3.05;243.00;246.05
126;1.85;246.05;247.90
127;3.25;247.90;251.15
128;3.25;251.15;254.40
129;3.05;254.40;257.45
130;3.05;257.45;260.50
131;1.85;260.50;262.35
132;3.25;262.35;265.60
133;3.25;265.60;268.85
134;3.05;268.85;271.90
135;3.05;271.90;274.95
136;1.85;274.95;276.80
137;3.25;276.80;280.05
138;3.25;280.05;283.30
139;3.05;283.30;286.35
140;3.05;286.35;289.40
141;1.85;289.40;291.25
142;3.25;291.25;294.50
143;3.25;294.50;297.75
144;3.05;297.75;300.80
145;3.05;300.80;303.85
146;1.85;303.85;305.70
147;3.25;305.70;308.95
148;3.25;308.95;312.20
149;3.05;312.20;315.25
150;3.05;315.25;318.30
151;1.85;318.30;320.15
152;3.25;320.15;323.40
153;3.25;323.40;326.65
154;3.05;326.65;329.70
155;3.05;329.70;332.75
156;1.85;332.75;334.60
157;3.25;334.60;337.85
158;3.25;337.85;341.10
159;3.05;341.10;344.15
160;3.05;344.15;347.20
161;1.85;347.20;349.05
162;3.25;349.05;352.30
163;3.25;352.30;355.55
164;3.05;355.55;358.60
165;3.05;358.60;361.65
166;1.60;361.65;363.25
167;0.80;363.25;364.05
168;0.80;364.05;364.85
169;0.80;364.85;365.65
170;0.80;365.65;366.45
171;0.80;366.45;367.25
172;0.80;367.25;368.05
173;0.80;368.05;368.85
174;0.80;368.85;369.65
175;0.80;369.65;370.45
176;0.80;370.45;371.25
177;0.80;371.25;372.05
178;0.80;372.05;372.85
179;0.80;372.85;373.65
180;0.80;373.65;374.45
181;0.80;374.45;375.25
182;0.80;375.25;376.05
183;0.80;376.05;376.85
184;0.80;376.85;377.65
185;0.80;377.65;378.45
186;0.80;378.45;379.25
187;0.80;379.25;380.05
188;0.80;380.05;380.85
189;0.80;380.85;381.65
190;0.80;381.65;382.45
191;0.80;382.45;383.25
192;0.80;383.25;384.05
193;0.80;384.05;384.85
194;0.80;384.85;385.65
195;0.80;385.65;386.45
196;0.80;386.45;387.25
197;0.80;387.25;388.05
