L.S.H.F.O SETT.TK(P);178.4;56;60
9.976;0.0;87.150;11.545;9.977
10.276;4.8;87.150;11.545;10.126
10.576;9.5;87.150;11.545;10.276
10.876;14.3;87.150;11.545;10.426
11.176;19.1;87.150;11.545;10.576
11.476;23.8;87.150;11.545;10.726
11.776;28.6;87.150;11.545;10.876
12.076;33.4;87.150;11.545;11.026
12.376;38.1;87.150;11.545;11.176
12.676;42.9;87.150;11.545;11.326
12.976;47.7;87.150;11.545;11.476
13.276;52.4;87.150;11.545;11.626
13.576;57.2;87.150;11.545;11.776
13.876;62.0;87.150;11.545;11.926
14.176;66.7;87.150;11.545;12.076
14.476;71.5;87.150;11.545;12.226
14.776;76.3;87.150;11.545;12.376
15.076;81.0;87.150;11.545;12.526
15.376;85.8;87.150;11.545;12.676
15.676;90.6;87.150;11.545;12.826
15.976;95.3;87.150;11.545;12.976
16.276;100.1;87.150;11.545;13.126
16.576;104.8;87.150;11.545;13.276
16.876;109.6;87.150;11.545;13.426
17.176;114.4;87.150;11.545;13.576
17.476;119.1;87.150;11.545;13.726
17.776;123.9;87.150;11.545;13.876
18.076;128.7;87.150;11.545;14.026
18.376;133.4;87.150;11.545;14.176
18.676;138.2;87.150;11.545;14.326
18.976;143.0;87.150;11.545;14.476
19.276;147.7;87.150;11.545;14.626
19.576;152.5;87.150;11.545;14.776
19.876;157.3;87.150;11.545;14.926
20.176;162.0;87.150;11.545;15.076
20.476;166.8;87.150;11.545;15.226
20.776;171.6;87.150;11.545;15.376
21.076;176.3;87.150;11.545;15.526
21.208;178.4;87.150;11.545;15.592
