NO.4A W.W.B.TK(S);1923.5;90;105
4.792;0.0;197.064;-25.468;4.793
5.292;54.6;197.072;-25.484;5.043
5.792;109.9;197.088;-25.492;5.294
6.292;165.3;197.100;-25.496;5.545
6.792;220.7;197.106;-25.497;5.795
7.292;276.1;197.110;-25.498;6.045
7.792;331.5;197.113;-25.499;6.295
8.292;386.9;197.114;-25.500;6.545
8.792;442.3;197.116;-25.500;6.796
9.292;497.7;197.117;-25.500;7.046
9.792;553.2;197.118;-25.500;7.296
10.292;608.6;197.118;-25.501;7.546
10.792;664.0;197.119;-25.501;7.796
11.292;719.4;197.119;-25.501;8.046
11.792;774.8;197.120;-25.501;8.296
12.292;830.2;197.120;-25.501;8.546
12.792;885.6;197.120;-25.501;8.796
13.292;941.0;197.121;-25.501;9.046
13.792;996.4;197.121;-25.501;9.296
14.292;1051.8;197.121;-25.501;9.546
14.792;1107.2;197.121;-25.501;9.796
15.292;1162.6;197.121;-25.502;10.046
15.792;1218.0;197.122;-25.502;10.296
16.292;1273.4;197.122;-25.502;10.546
16.792;1328.8;197.122;-25.502;10.796
17.292;1384.2;197.122;-25.502;11.046
17.792;1438.9;197.116;-25.502;11.293
18.292;1486.0;197.048;-25.502;11.507
18.792;1533.1;196.983;-25.502;11.723
19.292;1580.2;196.923;-25.502;11.941
19.792;1627.3;196.866;-25.502;12.161
20.292;1674.4;196.812;-25.502;12.383
20.792;1721.5;196.761;-25.502;12.606
21.292;1768.6;196.713;-25.502;12.830
21.792;1815.7;196.667;-25.502;13.056
22.292;1862.8;196.624;-25.502;13.284
22.792;1909.9;196.582;-25.502;13.512
22.936;1923.5;196.571;-25.502;13.578
