S.T.C.W TK;124.3;10;14
0.012;0.0;0.000;0.000;0.000
0.212;0.1;17.660;0.000;0.155
0.412;0.5;17.383;0.000;0.292
0.612;1.3;17.169;0.000;0.427
0.812;2.5;16.981;0.000;0.563
1.012;4.0;16.813;0.000;0.698
1.212;5.9;16.668;0.000;0.832
1.412;8.1;16.540;0.000;0.964
1.612;10.6;16.418;0.000;1.096
1.812;13.5;16.300;0.000;1.227
2.012;16.7;16.189;0.000;1.358
2.212;20.1;16.085;0.000;1.488
2.412;23.9;15.986;0.000;1.617
2.612;27.8;15.891;0.000;1.746
2.812;32.1;15.800;0.000;1.873
3.012;36.5;15.712;0.000;2.000
3.212;41.2;15.627;0.000;2.126
3.412;46.0;15.547;0.000;2.250
3.612;51.0;15.469;0.000;2.373
3.812;56.0;15.393;0.000;2.494
4.012;61.2;15.316;0.000;2.614
4.212;66.6;15.222;0.000;2.736
4.412;72.1;15.128;0.000;2.856
4.612;77.5;15.042;0.000;2.971
4.812;82.8;14.964;0.000;3.082
5.012;87.8;14.897;0.000;3.186
5.212;92.4;14.842;0.000;3.283
5.412;96.6;14.802;0.000;3.371
5.612;100.1;14.781;0.000;3.446
5.812;102.8;14.782;0.000;3.506
6.012;104.9;14.799;0.000;3.554
6.212;106.6;14.818;0.000;3.594
6.412;108.1;14.835;0.000;3.631
6.612;109.3;14.852;0.000;3.664
6.812;110.5;14.868;0.000;3.695
7.012;111.5;14.882;0.000;3.725
7.212;112.4;14.896;0.000;3.753
7.412;113.3;14.909;0.000;3.781
7.612;114.1;14.922;0.000;3.808
7.812;114.9;14.934;0.000;3.834
8.012;115.7;14.945;0.000;3.861
8.212;116.4;14.957;0.000;3.889
8.412;117.2;14.968;0.000;3.917
8.612;117.9;14.980;0.000;3.947
8.812;118.7;14.992;0.000;3.978
9.012;119.5;15.004;0.000;4.011
9.212;120.4;15.017;0.000;4.047
9.412;121.3;15.030;0.000;4.087
9.612;122.3;15.044;0.000;4.131
9.812;123.4;15.059;0.000;4.180
9.976;124.3;15.072;0.000;4.224
