H.F.O SETT.TK(P);340.4;49;60
9.976;0.0;85.084;22.247;9.977
10.276;9.1;85.084;22.247;10.126
10.576;18.2;85.084;22.247;10.276
10.876;27.3;85.084;22.247;10.426
11.176;36.4;85.084;22.247;10.576
11.476;45.5;85.084;22.247;10.726
11.776;54.6;85.084;22.247;10.876
12.076;63.6;85.084;22.247;11.026
12.376;72.7;85.084;22.247;11.176
12.676;81.8;85.084;22.247;11.326
12.976;90.9;85.084;22.247;11.476
13.276;100.0;85.084;22.247;11.626
13.576;109.1;85.084;22.247;11.776
13.876;118.2;85.084;22.247;11.926
14.176;127.3;85.084;22.247;12.076
14.476;136.4;85.084;22.247;12.226
14.776;145.5;85.084;22.247;12.376
15.076;154.6;85.084;22.247;12.526
15.376;163.7;85.084;22.247;12.676
15.676;172.7;85.084;22.247;12.826
15.976;181.8;85.084;22.247;12.976
16.276;190.9;85.084;22.247;13.126
16.576;200.0;85.084;22.247;13.276
16.876;209.1;85.084;22.247;13.426
17.176;218.2;85.084;22.247;13.576
17.476;227.3;85.084;22.247;13.726
17.776;236.4;85.084;22.247;13.876
18.076;245.5;85.084;22.247;14.026
18.376;254.6;85.084;22.247;14.176
18.676;263.7;85.084;22.247;14.326
18.976;272.8;85.084;22.247;14.476
19.276;281.9;85.084;22.247;14.626
19.576;290.9;85.084;22.247;14.776
19.876;300.0;85.084;22.247;14.926
20.176;309.1;85.084;22.247;15.076
20.476;318.2;85.084;22.247;15.226
20.776;327.3;85.084;22.247;15.376
21.076;336.4;85.084;22.247;15.526
21.208;340.4;85.084;22.247;15.592
