NO.1 VOID(C);3898.7;151;161
0.000;0.0;329.447;-0.000;0.001
0.500;68.5;330.994;0.000;0.286
1.000;177.3;331.127;0.000;0.578
1.500;311.1;331.184;0.000;0.870
2.000;464.4;331.212;-0.000;1.162
2.500;599.8;331.547;0.000;1.403
3.000;726.6;331.936;-0.000;1.639
3.500;865.9;332.189;-0.000;1.899
4.000;1016.9;332.351;-0.000;2.174
4.500;1178.7;332.451;-0.000;2.459
5.000;1312.7;332.456;-0.000;2.689
5.500;1403.3;332.369;-0.000;2.855
6.000;1504.0;332.278;-0.000;3.049
6.500;1614.7;332.186;-0.000;3.269
7.000;1735.4;332.094;-0.000;3.511
7.500;1857.0;332.015;-0.000;3.755
8.000;1958.1;331.974;-0.000;3.961
8.500;2069.6;331.929;0.000;4.193
9.000;2191.9;331.881;-0.000;4.447
9.500;2325.1;331.831;-0.000;4.723
10.000;2467.2;331.781;0.000;5.012
10.500;2572.1;331.743;0.000;5.226
11.000;2689.1;331.702;0.000;5.467
11.500;2818.7;331.662;0.000;5.733
12.000;2961.2;331.622;0.000;6.022
12.500;3117.2;331.583;0.000;6.334
13.000;3238.9;331.577;0.000;6.575
13.500;3367.2;331.575;0.000;6.829
14.000;3510.0;331.574;0.000;7.111
14.500;3667.5;331.573;0.000;7.418
15.000;3840.2;331.575;0.000;7.748
15.160;3898.7;331.576;0.000;7.858
