NO.5 H.F.O.TK(S);1161.5;105;122
2.200;0.0;225.600;-16.936;2.201
2.700;28.0;225.600;-16.936;2.450
3.200;56.0;225.600;-16.936;2.700
3.700;84.0;225.600;-16.936;2.950
4.200;112.0;225.600;-16.936;3.200
4.700;140.0;225.600;-16.936;3.450
5.200;168.0;225.600;-16.936;3.700
5.700;196.1;225.600;-16.936;3.950
6.200;224.1;225.600;-16.936;4.200
6.700;252.1;225.600;-16.936;4.450
7.200;280.1;225.600;-16.936;4.700
7.700;308.1;225.600;-16.936;4.950
8.200;336.1;225.600;-16.936;5.200
8.700;364.1;225.600;-16.936;5.450
9.200;392.1;225.600;-16.936;5.700
9.700;420.1;225.600;-16.936;5.950
10.200;448.1;225.600;-16.936;6.200
10.700;476.1;225.600;-16.936;6.450
11.200;504.1;225.600;-16.936;6.700
11.700;532.1;225.600;-16.936;6.950
12.200;560.2;225.600;-16.936;7.200
12.700;588.2;225.600;-16.936;7.450
13.200;616.2;225.600;-16.936;7.700
13.700;644.2;225.600;-16.936;7.950
14.200;672.2;225.600;-16.936;8.200
14.700;700.2;225.600;-16.936;8.450
15.200;728.2;225.600;-16.936;8.700
15.700;756.2;225.600;-16.936;8.950
16.200;784.2;225.600;-16.936;9.200
16.700;812.2;225.600;-16.936;9.450
17.200;840.2;225.600;-16.936;9.700
17.700;868.2;225.600;-16.936;9.950
18.200;896.2;225.600;-16.936;10.200
18.700;924.2;225.600;-16.936;10.450
19.200;952.3;225.600;-16.936;10.700
19.700;980.3;225.600;-16.936;10.950
20.200;1008.3;225.600;-16.936;11.200
20.700;1036.3;225.600;-16.936;11.450
21.200;1064.3;225.600;-16.936;11.700
21.700;1092.3;225.600;-16.936;11.950
22.200;1120.3;225.600;-16.936;12.200
22.700;1148.3;225.600;-16.936;12.450
22.936;1161.5;225.600;-16.936;12.568
