BILGE HOLDING TK(P);287.2;39;52
0.000;0.0;77.614;4.541;0.001
0.100;4.5;77.495;5.113;0.053
0.200;10.1;77.462;5.384;0.107
0.300;16.4;77.442;5.592;0.162
0.400;23.2;77.428;5.765;0.217
0.500;30.5;77.418;5.919;0.273
0.600;38.2;77.410;6.056;0.329
0.700;46.2;77.404;6.181;0.384
0.800;54.5;77.400;6.299;0.441
0.900;63.2;77.396;6.409;0.497
1.000;72.2;77.393;6.514;0.553
1.100;81.5;77.390;6.613;0.610
1.200;91.0;77.388;6.709;0.666
1.300;100.8;77.386;6.800;0.723
1.400;110.9;77.384;6.890;0.780
1.500;121.2;77.381;6.976;0.837
1.600;131.7;77.378;7.057;0.894
1.700;142.4;77.373;7.134;0.951
1.800;153.3;77.367;7.208;1.008
1.900;164.4;77.361;7.279;1.065
2.000;175.7;77.354;7.348;1.121
2.100;187.0;77.347;7.409;1.178
2.200;198.4;77.339;7.465;1.233
2.300;209.7;77.332;7.516;1.288
2.400;221.2;77.325;7.562;1.343
2.500;232.6;77.317;7.605;1.398
2.600;244.1;77.310;7.644;1.452
2.700;255.6;77.302;7.681;1.506
2.800;267.1;77.296;7.714;1.559
2.900;278.6;77.290;7.744;1.613
2.975;287.2;77.286;7.766;1.652
