BILGE SETT.TK(P);35.1;30;32
10.840;0.0;65.550;22.915;10.841
11.040;0.8;65.550;22.915;10.940
11.240;1.6;65.550;22.915;11.040
11.440;2.4;65.550;22.915;11.140
11.640;3.2;65.550;22.915;11.240
11.840;4.1;65.550;22.915;11.340
12.040;4.9;65.550;22.915;11.440
12.240;5.7;65.550;22.915;11.540
12.440;6.5;65.550;22.915;11.640
12.640;7.3;65.550;22.915;11.740
12.840;8.1;65.550;22.915;11.840
13.040;8.9;65.550;22.915;11.940
13.240;9.8;65.550;22.915;12.040
13.440;10.6;65.550;22.915;12.140
13.640;11.4;65.550;22.915;12.240
13.840;12.2;65.550;22.915;12.340
14.040;13.0;65.550;22.915;12.440
14.240;13.8;65.550;22.915;12.540
14.440;14.6;65.550;22.915;12.640
14.640;15.4;65.550;22.915;12.740
14.840;16.3;65.550;22.915;12.840
15.040;17.1;65.550;22.915;12.940
15.240;17.9;65.550;22.915;13.040
15.440;18.7;65.550;22.915;13.140
15.640;19.5;65.550;22.915;13.240
15.840;20.3;65.550;22.915;13.340
16.040;21.1;65.550;22.915;13.440
16.240;22.0;65.550;22.915;13.540
16.440;22.8;65.550;22.915;13.640
16.640;23.6;65.550;22.915;13.740
16.840;24.4;65.550;22.915;13.840
17.040;25.2;65.550;22.915;13.940
17.240;26.0;65.550;22.915;14.040
17.440;26.8;65.550;22.915;14.140
17.640;27.6;65.550;22.915;14.240
17.840;28.5;65.550;22.915;14.340
18.040;29.3;65.550;22.915;14.440
18.240;30.1;65.550;22.915;14.540
18.440;30.9;65.550;22.915;14.640
18.640;31.7;65.550;22.915;14.740
18.840;32.5;65.550;22.915;14.840
19.040;33.3;65.550;22.915;14.940
19.240;34.2;65.550;22.915;15.040
19.440;35.0;65.550;22.915;15.140
19.480;35.1;65.550;22.915;15.160
