NO.7 W.B.TK(P);2277.9;15;25
3.253;0.0;0.000;0.000;0.000
3.753;0.1;49.729;9.184;3.588
4.253;0.8;49.217;9.358;3.926
4.753;1.9;49.070;9.468;4.343
5.253;4.5;48.696;9.586;4.761
5.753;9.1;48.341;9.760;5.149
6.253;16.3;48.012;9.970;5.533
6.753;27.0;47.673;10.211;5.924
7.253;42.6;47.313;10.494;6.324
7.753;64.6;46.933;10.826;6.731
8.253;95.5;46.499;11.211;7.148
8.753;138.3;46.003;11.648;7.571
9.253;196.0;45.439;12.124;7.996
9.753;271.5;44.818;12.607;8.419
10.253;368.4;44.097;13.079;8.838
10.753;489.1;43.300;13.524;9.251
11.253;635.6;42.436;13.930;9.657
11.753;808.0;41.557;14.303;10.052
12.253;1001.3;40.774;14.653;10.429
12.753;1161.5;40.104;14.954;10.709
13.253;1250.7;39.444;15.237;10.873
13.753;1349.4;38.815;15.542;11.066
14.253;1455.3;38.234;15.850;11.280
14.753;1566.5;37.706;16.147;11.508
15.253;1667.7;37.303;16.415;11.719
15.753;1711.0;37.223;16.629;11.815
16.253;1756.0;37.139;16.841;11.922
16.753;1801.9;37.053;17.047;12.039
17.253;1848.4;36.969;17.246;12.164
17.753;1895.0;36.887;17.436;12.295
18.253;1932.0;36.867;17.590;12.404
18.753;1968.9;36.848;17.738;12.519
19.253;2005.8;36.830;17.881;12.638
19.753;2042.8;36.812;18.019;12.762
20.253;2079.7;36.795;18.152;12.891
20.753;2116.7;36.778;18.280;13.024
21.253;2153.6;36.762;18.404;13.160
21.753;2190.5;36.747;18.524;13.301
22.253;2227.5;36.732;18.639;13.445
22.753;2264.4;36.718;18.751;13.593
22.936;2277.9;36.713;18.791;13.648
