SLUDGE SETT.TK(P);14.1;30;32
19.480;0.0;65.550;22.915;19.481
19.580;0.4;65.550;22.915;19.530
19.680;0.8;65.550;22.915;19.580
19.780;1.2;65.550;22.915;19.630
19.880;1.6;65.550;22.915;19.680
19.980;2.0;65.550;22.915;19.730
20.080;2.4;65.550;22.915;19.780
20.180;2.9;65.550;22.915;19.830
20.280;3.2;65.550;22.915;19.880
20.380;3.7;65.550;22.915;19.930
20.480;4.1;65.550;22.915;19.980
20.580;4.5;65.550;22.915;20.030
20.680;4.9;65.550;22.915;20.080
20.780;5.3;65.550;22.915;20.130
20.880;5.7;65.550;22.915;20.180
20.980;6.1;65.550;22.915;20.230
21.080;6.5;65.550;22.915;20.280
21.180;6.9;65.550;22.915;20.330
21.280;7.3;65.550;22.915;20.380
21.380;7.7;65.550;22.915;20.430
21.480;8.1;65.550;22.915;20.480
21.580;8.5;65.550;22.915;20.530
21.680;8.9;65.550;22.915;20.580
21.780;9.3;65.550;22.915;20.630
21.880;9.8;65.550;22.915;20.680
21.980;10.2;65.550;22.915;20.730
22.080;10.6;65.550;22.915;20.780
22.180;11.0;65.550;22.915;20.830
22.280;11.4;65.550;22.915;20.880
22.380;11.8;65.550;22.915;20.930
22.480;12.2;65.550;22.915;20.980
22.580;12.6;65.550;22.915;21.030
22.680;13.0;65.550;22.915;21.080
22.780;13.4;65.550;22.915;21.130
22.880;13.8;65.550;22.915;21.180
22.936;14.1;65.550;22.915;21.208
